date,driving,transit,walking
2020-01-13,100,100,100
2020-01-14,105.93,103.78,105.72
2020-01-15,112.23,105.28,111.35
2020-01-16,111.73,103.12,111.68
2020-01-17,130.2,109.34,134.45
2020-01-18,122.3,92.96,154.54
2020-01-19,92.49,76.92,116.52
2020-01-20,101.89,93.71,109.02
2020-01-21,108.51,112.4,107.66
2020-01-22,111.56,110.84,110.91
2020-01-23,118.7,115.03,116
2020-01-24,129.35,115.94,135.03
2020-01-25,125.81,94.56,155.49
2020-01-26,90.7,74.66,106.78
2020-01-27,103.78,110.61,106.25
2020-01-28,108.2,109.55,109.04
2020-01-29,109.24,107.99,107.61
2020-01-30,112.39,108.11,112.22
2020-01-31,128.35,114.67,136.63
2020-02-01,123.78,98.76,161.75
2020-02-02,84.36,74.59,100.75
2020-02-03,100.73,102.41,97.36
2020-02-04,106.09,107.02,102.34
2020-02-05,110.28,107.68,106.62
2020-02-06,115.53,113.5,112.67
2020-02-07,131.6,115.53,136.95
2020-02-08,126,95.08,155.66
2020-02-09,89.54,73.04,100.95
2020-02-10,108.51,115.51,110.08
2020-02-11,114.01,116.09,111.05
2020-02-12,116.93,114.86,114.35
2020-02-13,127.6,118.05,125.75
2020-02-14,152.08,123.05,159.21
2020-02-15,127.42,95.89,164.35
2020-02-16,101.93,83.93,131.75
2020-02-17,107.66,100.27,118.54
2020-02-18,115.76,123.62,112.9
2020-02-19,117.01,121.08,114.73
2020-02-20,123.74,122.6,121.76
2020-02-21,137.91,123.56,143.82
2020-02-22,127.2,97.24,155.36
2020-02-23,100.94,84.87,122.46
2020-02-24,113.05,122.25,112.99
2020-02-25,116.44,120.6,112.18
2020-02-26,116.42,116.93,112.44
2020-02-27,120.34,116.08,116.16
2020-02-28,136.12,121.19,141.16
2020-02-29,132.75,101.11,163.07
2020-03-01,95.14,78.11,109.06
2020-03-02,107.53,111.77,108.99
2020-03-03,117.58,118.77,123.12
2020-03-04,114.67,114.33,111.02
2020-03-05,121.15,114.58,116.47
2020-03-06,134.88,118.67,139.02
2020-03-07,127.12,96.8,157.79
2020-03-08,97.79,79.62,125.71
2020-03-09,104.25,106.63,104.38
2020-03-10,105.16,94.98,97.52
2020-03-11,105.95,101.68,105.93
2020-03-12,103.85,76,81.78
2020-03-13,103.23,70.41,92.63
2020-03-14,82.59,55.08,91.26
2020-03-15,62.77,47.97,70.35
2020-03-16,73.91,50.28,63.04
2020-03-17,68.19,46.31,63.51
2020-03-18,63.35,42.19,59.28
2020-03-19,59.1,36.73,53.2
2020-03-20,56.79,33.16,53.02
2020-03-21,47.54,27.5,52.41
2020-03-22,36.18,23.56,39.64
2020-03-23,45.99,30.78,46.69
2020-03-24,46.25,29.21,46.49
2020-03-25,46,28.44,46.4
2020-03-26,46.38,27.09,46.12
2020-03-27,51.27,27.99,50.01
2020-03-28,43.19,23.33,47.22
2020-03-29,34.94,21.78,39.9
2020-03-30,44.97,27.76,47.19
2020-03-31,45.54,26.68,46.51
2020-04-01,46.7,26.25,48.68
2020-04-02,45.87,25.76,47.22
2020-04-03,52.04,26.3,52.6
2020-04-04,44.77,22.14,48.28
2020-04-05,33.92,19.22,36.02
2020-04-06,40.81,21.76,37.63
2020-04-07,41.36,22.16,38.13
2020-04-08,42.38,21.82,41.92
2020-04-09,40.85,19.1,35.31
2020-04-10,48.47,21.7,45.5
2020-04-11,46.57,21.66,50.85
2020-04-12,30.88,17.8,31.73
2020-04-13,44.59,23.47,44.12
2020-04-14,47.28,23.76,48.69
2020-04-15,50.4,24.21,51.17
2020-04-16,50.79,23.78,51.17
2020-04-17,56.06,23.98,54.26
2020-04-18,50.5,21.05,52.17
2020-04-19,41.8,20.25,44.5
2020-04-20,51.13,25.8,52.06
2020-04-21,51.43,24.82,51.61
2020-04-22,53.78,24.93,53.91
2020-04-23,55.45,25.19,54.66
2020-04-24,62.76,25.85,60.69
2020-04-25,58.24,23.52,60.26
2020-04-26,47.3,21.48,48.41
2020-04-27,54.68,26.14,54.81
2020-04-28,56.89,27.27,56.16
2020-04-29,57.52,26.49,55.92
2020-04-30,60.37,26.73,59.08
2020-05-01,68.53,28.52,66.7
2020-05-02,63.88,25.62,65.73
2020-05-03,52.2,23.45,54.15
2020-05-04,60.98,28.56,62.18
2020-05-05,64.24,28.34,64.02
2020-05-06,64.21,28.85,63.69
2020-05-07,66.74,28.59,65.65
2020-05-08,79.04,30.79,76.98
2020-05-09,76.7,27.25,80.87
2020-05-10,60.36,23.06,60.53
2020-05-11,,,
2020-05-12,,,
2020-05-13,69.97,29.9,72.19
2020-05-14,72.93,29.46,74.8
2020-05-15,85.18,31.91,87.97
2020-05-16,81.94,28.61,88.75
2020-05-17,66.97,26.12,72.61
2020-05-18,70.42,29.98,70.38
2020-05-19,76.6,31.55,79.23
2020-05-20,79.43,32.3,81.75
2020-05-21,82.49,32.98,83.55
2020-05-22,95.27,34.91,95.6
2020-05-23,86.97,31.04,94.4
2020-05-24,74.8,27.74,81.16
2020-05-25,70.66,30.58,78.24
2020-05-26,82.46,35.85,84.2
2020-05-27,84.89,36.06,86.29
2020-05-28,86.17,35.56,88.34
