sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Los Angeles County,2020-02-15,1,0,13,-1,-1,0
Los Angeles County,2020-02-16,4,-1,27,-1,0,-1
Los Angeles County,2020-02-17,7,0,30,-11,-32,7
Los Angeles County,2020-02-18,-1,0,11,2,2,0
Los Angeles County,2020-02-19,-1,-1,13,1,2,0
Los Angeles County,2020-02-20,1,0,11,2,2,-1
Los Angeles County,2020-02-21,1,0,7,0,2,0
Los Angeles County,2020-02-22,-1,-1,-13,-5,1,1
Los Angeles County,2020-02-23,4,1,13,0,2,0
Los Angeles County,2020-02-24,1,-1,8,2,4,-1
Los Angeles County,2020-02-25,2,1,13,3,3,-1
Los Angeles County,2020-02-26,3,2,11,2,3,-1
Los Angeles County,2020-02-27,3,2,14,3,2,-1
Los Angeles County,2020-02-28,4,4,10,2,3,-1
Los Angeles County,2020-02-29,3,4,11,0,2,-1
Los Angeles County,2020-03-01,4,3,-5,-3,1,0
Los Angeles County,2020-03-02,5,5,8,1,4,-1
Los Angeles County,2020-03-03,8,7,32,2,3,-1
Los Angeles County,2020-03-04,4,6,9,-1,2,0
Los Angeles County,2020-03-05,4,7,9,0,2,0
Los Angeles County,2020-03-06,3,6,7,-2,2,0
Los Angeles County,2020-03-07,1,6,3,-4,2,0
Los Angeles County,2020-03-08,3,4,16,-4,1,0
Los Angeles County,2020-03-09,3,7,6,-4,3,0
Los Angeles County,2020-03-10,-3,3,-29,-13,-2,3
Los Angeles County,2020-03-11,2,11,5,-6,0,1
Los Angeles County,2020-03-12,-8,12,-35,-19,-3,4
Los Angeles County,2020-03-13,-5,37,-37,-21,-7,6
Los Angeles County,2020-03-14,-14,27,-47,-23,-7,7
Los Angeles County,2020-03-15,-16,12,-22,-21,-9,6
Los Angeles County,2020-03-16,-19,12,-40,-29,-22,11
Los Angeles County,2020-03-17,-24,8,-21,-30,-29,14
Los Angeles County,2020-03-18,-28,3,-12,-33,-33,16
Los Angeles County,2020-03-19,-32,3,-30,-39,-35,18
Los Angeles County,2020-03-20,-40,-5,-29,-44,-41,22
Los Angeles County,2020-03-21,-48,-13,-28,-46,-34,18
Los Angeles County,2020-03-22,-52,-26,-36,-54,-38,16
Los Angeles County,2020-03-23,-42,-19,-32,-49,-47,22
Los Angeles County,2020-03-24,-43,-20,-34,-50,-49,23
Los Angeles County,2020-03-25,-43,-20,-34,-50,-49,23
Los Angeles County,2020-03-26,-43,-20,-35,-51,-50,24
Los Angeles County,2020-03-27,-45,-19,-34,-51,-49,25
Los Angeles County,2020-03-28,-50,-21,-52,-52,-39,20
Los Angeles County,2020-03-29,-51,-27,-48,-54,-41,17
Los Angeles County,2020-03-30,-42,-23,-34,-52,-51,22
Los Angeles County,2020-03-31,-42,-22,-38,-50,-51,23
Los Angeles County,2020-04-01,-41,-18,-34,-49,-52,23
Los Angeles County,2020-04-02,-43,-19,-39,-52,-52,25
Los Angeles County,2020-04-03,-43,-15,-38,-51,-51,25
Los Angeles County,2020-04-04,-50,-20,-54,-51,-41,20
Los Angeles County,2020-04-05,-53,-27,-59,-57,-43,17
Los Angeles County,2020-04-06,-49,-27,-58,-59,-54,25
Los Angeles County,2020-04-07,-51,-30,-58,-58,-54,26
Los Angeles County,2020-04-08,-49,-27,-51,-57,-55,26
Los Angeles County,2020-04-09,-55,-34,-69,-65,-57,29
Los Angeles County,2020-04-10,-49,-22,-55,-58,-57,29
Los Angeles County,2020-04-11,-51,-19,-54,-52,-43,20
Los Angeles County,2020-04-12,-64,-38,-69,-60,-46,18
Los Angeles County,2020-04-13,-47,-28,-47,-54,-51,23
