date,county,fips,place,confirmed_cases,note,new_confirmed_cases,x,y,
2020/4/2,Los Angeles,37,Acton,1,1 to 4,1,-118.216138,34.481366,
2020/4/3,Los Angeles,37,Acton,1,1 to 4,0,-118.216138,34.481366,
2020/4/4,Los Angeles,37,Acton,1,1 to 4,0,-118.216138,34.481366,
2020/4/5,Los Angeles,37,Acton,1,1 to 4,0,-118.216138,34.481366,
2020/4/6,Los Angeles,37,Acton,1,1 to 4,0,-118.216138,34.481366,
2020/4/7,Los Angeles,37,Acton,1,1 to 4,0,-118.216138,34.481366,
2020/4/8,Los Angeles,37,Acton,1,1 to 4,0,-118.216138,34.481366,
2020/4/9,Los Angeles,37,Acton,1,1 to 4,0,-118.216138,34.481366,
2020/4/10,Los Angeles,37,Acton,1,,0,-118.216138,34.481366,
2020/4/11,Los Angeles,37,Acton,1,,0,-118.216138,34.481366,
2020/4/12,Los Angeles,37,Acton,1,,0,-118.216138,34.481366,
2020/4/13,Los Angeles,37,Acton,1,1 to 4,0,-118.216138,34.481366,
2020/4/14,Los Angeles,37,Acton,1,1 to 4,0,-118.216138,34.481366,
2020/4/15,Los Angeles,37,Acton,1,1 to 4,0,-118.216138,34.481366,
2020/4/16,Los Angeles,37,Acton,1,1 to 4,0,-118.216138,34.481366,
2020/4/17,Los Angeles,37,Acton,5,,4,-118.216138,34.481366,
2020/4/18,Los Angeles,37,Acton,5,,0,-118.216138,34.481366,
2020/4/19,Los Angeles,37,Acton,5,,0,-118.216138,34.481366,
2020/4/20,Los Angeles,37,Acton,6,,1,-118.216138,34.481366,
2020/4/21,Los Angeles,37,Acton,8,,2,-118.216138,34.481366,
2020/4/22,Los Angeles,37,Acton,8,,0,-118.216138,34.481366,
2020/4/23,Los Angeles,37,Acton,8,,0,-118.216138,34.481366,
2020/4/24,Los Angeles,37,Acton,8,,0,-118.216138,34.481366,
2020/4/25,Los Angeles,37,Acton,8,,0,-118.216138,34.481366,
2020/4/26,Los Angeles,37,Acton,8,,0,-118.216138,34.481366,
2020/4/27,Los Angeles,37,Acton,8,,0,-118.216138,34.481366,
2020/4/28,Los Angeles,37,Acton,8,,0,-118.216138,34.481366,
2020/4/29,Los Angeles,37,Acton,8,,0,-118.216138,34.481366,
2020/4/30,Los Angeles,37,Acton,8,,0,-118.216138,34.481366,
2020/5/1,Los Angeles,37,Acton,8,,0,-118.216138,34.481366,
2020/5/2,Los Angeles,37,Acton,8,,0,-118.216138,34.481366,
2020/5/3,Los Angeles,37,Acton,8,,0,-118.216138,34.481366,
2020/5/4,Los Angeles,37,Acton,8,,0,-118.216138,34.481366,
2020/5/5,Los Angeles,37,Acton,8,,0,-118.216138,34.481366,
2020/5/6,Los Angeles,37,Acton,8,,0,-118.216138,34.481366,
2020/5/7,Los Angeles,37,Acton,8,,0,-118.216138,34.481366,
2020/5/8,Los Angeles,37,Acton,8,,0,-118.216138,34.481366,
2020/5/9,Los Angeles,37,Acton,8,,0,-118.216138,34.481366,
2020/5/10,Los Angeles,37,Acton,8,,0,-118.216138,34.481366,
2020/5/11,Los Angeles,37,Acton,8,,0,-118.216138,34.481366,
2020/5/12,Los Angeles,37,Acton,8,,0,-118.216138,34.481366,
2020/5/13,Los Angeles,37,Acton,8,,0,-118.216138,34.481366,
2020/5/14,Los Angeles,37,Acton,9,,1,-118.216138,34.481366,
2020/5/15,Los Angeles,37,Acton,9,,0,-118.216138,34.481366,
2020/5/16,Los Angeles,37,Acton,10,,1,-118.216138,34.481366,
2020/5/17,Los Angeles,37,Acton,10,,0,-118.216138,34.481366,
2020/5/18,Los Angeles,37,Acton,10,,0,-118.216138,34.481366,
2020/5/19,Los Angeles,37,Acton,10,,0,-118.216138,34.481366,
2020/5/20,Los Angeles,37,Acton,10,,0,-118.216138,34.481366,
2020/5/21,Los Angeles,37,Acton,10,,0,-118.216138,34.481366,
2020/5/22,Los Angeles,37,Acton,10,,0,-118.216138,34.481366,
