"","ZIP","date","confirmed_cases","new_confirmed_cases","device_count","distance_traveled_from_home","completely_home_device_count","median_home_dwell_time","median_non_home_dwell_time","median_percentage_time_home","population","Land_Sq_Mi","Density_Per_Sq_Mile","cases_adjusted_by_pop","new_cases_adjusted_by_pop","places","Income_level","first","last","low_income","middle_income","high_income","stay_home_ratio","new1day_after","new2day_after","new3day_after","new4day_after","new5day_after","new6day_after","new7day_after","new8day_after","new9day_after","new10day_after","new11day_after","ave_new7_10after","ave_new6_9after","ave_new8_11after"
"1",90004,2020-03-16,2,1,1891,4046,676,776,59,93,61586,3,20205,3.24749e-05,1.62375e-05,"Melrose,Hancock Park,",2,2020-03-16,2020-05-27,FALSE,TRUE,FALSE,2.79733727810651,7,1,2,0,3,6,3,8,8,16,6,8.75,6.25,9.5
"2",90006,2020-03-16,1,1,2075,6493,500,480,163,75,61698,1,32134,1.6208e-05,1.6208e-05,"Koreatown,Westlake,Harvard Heights,Pico-Union,",1,2020-03-16,2020-05-27,TRUE,FALSE,FALSE,4.15,0,0,0,0,1,1,1,3,0,3,2,1.75,1.25,2
"3",90018,2020-03-16,1,1,1244,5472,481,643,47,93,53256,2,18389,1.87772e-05,1.87772e-05,"West Adams,Adams-Normandie,Jefferson Park,",1,2020-03-16,2020-05-27,TRUE,FALSE,FALSE,2.58627858627859,0,0,0,0,1,1,0,2,1,2,1,1.25,1,1.5
"4",90033,2020-03-16,5,4,1332,6733,474,664,52,93,47583,3,14564,0.00010508,8.40636e-05,"Boyle Heights,",1,2020-03-16,2020-05-27,TRUE,FALSE,FALSE,2.81012658227848,0,0,0,0,0,0,0,0,0,2,1,0.5,0,0.75
"5",90039,2020-03-16,1,1,664,7947,243,740,42,95,29589,3,7848,3.37963e-05,3.37963e-05,"Silver Lake,Atwater Village,",2,2020-03-16,2020-05-27,FALSE,TRUE,FALSE,2.73251028806584,0,0,0,0,2,0,1,1,1,5,1,2,0.75,2
"6",90043,2020-03-16,1,1,1659,9058,610,585,43,93,44627,4,10795,2.2408e-05,2.2408e-05,"West Vernon,Hyde Park,View Heights,View Park/Windsor Hills,",1,2020-03-16,2020-05-27,TRUE,FALSE,FALSE,2.71967213114754,0,0,0,0,1,0,1,2,1,1,1,1.25,1,1.25
"7",90045,2020-03-16,1,1,1326,30355,411,692,187,79,41149,10,3836,2.43019e-05,2.43019e-05,"Westchester,",2,2020-03-16,2020-05-27,FALSE,TRUE,FALSE,3.22627737226277,1,0,1,0,0,0,0,0,2,2,1,1,0.5,1.25
"8",90069,2020-03-16,5,1,636,4628,248,623,35,95,20435,2,9666,0.000244678,4.89356e-05,"West Hollywood,",2,2020-03-16,2020-05-27,FALSE,TRUE,FALSE,2.56451612903226,3,3,1,3,3,1,4,8,0,4,7,4,3.25,4.75
"9",90210,2020-03-16,1,1,1322,529317,484,692,92,88,19909,10,1966,5.02285e-05,5.02285e-05,"Beverly Hills,Beverly Crest,",2,2020-03-16,2020-05-27,FALSE,TRUE,FALSE,2.73140495867769,0,3,0,1,2,1,4,0,1,2,7,1.75,1.5,2.5
"10",90230,2020-03-16,2,1,1022,5140,409,893,34,96,32808,4,7277,6.09607e-05,3.04804e-05,"Culver City,",2,2020-03-16,2020-05-27,FALSE,TRUE,FALSE,2.49877750611247,0,0,1,1,0,0,1,2,1,2,1,1.5,1,1.5
